RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6A,Q6B,Q6C,Q6D,Q6E,Q7A,Q7B,Q8,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q12A,Q12B,Q13,Q14A,Q14B,Q14C,Q15,Q16,Q17,Q18,Q19A,Q19B,Q20,Q21A,Q21B,Q22A,Q22B,Q22C,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q28,Q29A,Q29B,Q30,Q31,Q32A,Q32B,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q34A,Q34B,Q35A,Q35B,Q35C,Q36A,Q36B,Q36C,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q42A,Q42B,Q42C,Q42D,Q43A,Q43B,Q43C,Q43D,Q43E,Q44A,Q44B,Q44C,Q44D,Q44E,Q45PT1,Q45PT1OTHER,Q45PT2,Q45PT2OTHER,Q45PT3,Q45PT3OTHER,Q46A,Q46B,Q46C,Q46D,Q46E,Q46F,Q46G,Q46H,Q46I,Q46J,Q46K,Q46L,Q46M,Q46N,Q46O,Q46P,Q46Q,Q47A,Q47B,Q47C,Q48A,Q48B,Q49A,Q49B,Q50A,Q50B,Q50C,Q51A,Q51B,Q52A,Q52B,Q53A,Q53B,Q53C,Q54,Q55A,Q55B,Q55C,Q56A,Q56B,Q56C,Q57A,Q57B,Q58A,Q58B,Q58C,Q59,Q60,Q61A,Q61B,Q61C,Q62,Q63A,Q63B,Q63C,Q64A,Q64B,Q65A,Q65B,Q66A,Q66B,Q67A,Q67B,Q68A,Q68B,Q69,Q70A,Q70B,Q70C,Q70D,Q71,Q72A,Q72B,Q72C,Q72D,Q72E,Q73A,Q73B,Q73C,Q73D,Q74A,Q74B,Q74C,Q74D,Q74E,Q74F_NIG,Q75,Q76A,Q76B,Q76C,Q77,Q78A,Q78B,Q78C,Q78D,Q78E,Q79A_NIG,Q79B_NIG,Q80A_NIG,Q80B_NIG,Q81A_NIG,Q81B_NIG,Q81C_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q83C_NIG_OTHER,Q83D_NIG,Q83D_NIG_OTHER,Q84A,Q84AOTHER,Q84B,Q84C,Q84D,Q84E,Q85A,Q85B,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q91A,Q91B,Q91C,Q92A,Q92B,Q93A,Q93B,Q93BOTHER,Q93C,Q94,Q95,Q95OTHER,Q96,Q96OTHER,Q97,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,Q117OTHER,Q118,Q119_1,Q119_2,Q119_3,Q119_4,Q119_5,Q119_6,Q119OTHER,withinwt_ea,withinwt_hh
NIG0247,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,9997,9997,9997,9997,9997,2,1,1,2022-03-08,16:49:00,39,621,,1,1,1,1,4,3,3,2,3,4,2,0,1,1,3,3,3,3,0,0,0,0,0,0,0,0,3,9,0,3,4,1,1,4,4,2,4,1,4,1,1,1,3,3,1,2,2,2,4,3,2,2,1,1,1,4,3,9,9,3,3,3,0,2,3,0,0,1,0,0,0,3,0,0,0,1,3,3,3,0,1,2,1,3,3,3,2,3,3,1,3,2,1,2,9,1,1,0,7,7,7,1,2,0,3,2,2,2,2,1,4,0,3,0,7,7,0,7,2,5,5,5,3,8,,4,,15,,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,3,2,1,5,3,3,9,4,3,1,2,2,4,2,1,1,2,2,0,3,97,1,1,0,2,1,1,9,1,2,1,2,0,1,2,4,0,7,7,7,7,7,7,7,7,2,1,4,5,1,5,4,9,4,1,2,1,0,0,0,2,1,1,1,1,3,5,5,9,9,7,0,7,5,5,1,1,1,1,9,1,1,2,4,,7,,621,,3,2,1,1,2,2,2,1,3,2,2,2,4,4,1,4,4,3,2,0,9997,,0,2,0,0,2,1,7,3,0,5,3,2,1,2,0,4,,1,3,2,,9999,,1,17:41:00,52,0,2,1,,623,,1,1,3,0,0,0,0,0,1,1,1,1,1,1,1,NIG10,35,1,2,621,,621,,8,1,621,622,623,9996,9996,,0.543172542712715,0.160940012655619
NIG0248,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,5,5,4,9997,9997,9997,9997,9997,1,6,1,2022-03-08,16:49:00,64,1,,1,1,2,2,4,0,0,0,0,1,1,1,0,4,4,4,3,1,0,2,0,0,2,1,2,1,3,4,0,3,3,3,3,2,3,2,2,4,4,2,2,1,3,1,1,3,5,2,4,3,2,2,2,2,2,4,2,1,1,2,2,0,0,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,0,7,7,7,0,7,7,7,7,7,7,7,1,2,0,2,0,7,7,0,7,3,3,2,4,3,23,,14,,20,,2,1,2,1,2,2,3,1,2,3,2,2,3,2,3,3,3,3,3,3,1,1,2,3,4,2,1,5,3,2,3,3,4,2,2,2,3,4,4,4,4,2,2,1,7,97,4,4,1,2,2,2,4,5,4,3,4,1,2,2,5,1,4,4,5,3,2,2,3,3,3,3,5,4,1,4,5,2,2,4,3,3,0,0,0,2,2,1,1,1,2,4,4,9,9,7,1,1,4,2,1,1,3,1,4,2,3,1,2,,22,,622,,0,5,1,1,4,2,1,1,1,1,1,1,4,4,1,4,4,4,4,1,621,,2,2,0,0,2,2,0,4,0,13,3,1,1,2,1,3,,3,6,18,,621,,8,17:56:00,67,0,1,1,,1,,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG17,37,1,2,622,,622,,8,1,620,622,623,9996,9996,,0.894015000034231,1.30038545459524
NIG0249,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,5,5,4,9997,9997,9997,9997,9997,1,5,1,2022-03-08,16:53:00,26,622,,1,1,1,1,5,3,0,3,2,4,0,1,2,1,4,4,3,3,0,0,0,0,0,3,0,0,3,4,0,2,3,1,1,4,4,1,3,5,2,4,4,1,3,2,3,1,2,1,3,4,2,3,3,2,1,4,3,9,9,2,3,9,2,9,3,0,0,3,0,0,0,3,0,1,1,1,2,3,1,0,2,9,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,0,3,0,7,7,7,7,7,7,7,1,2,0,3,0,7,7,2,0,3,5,5,5,9,23,,8,,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,8,2,2,0,2,2,2,4,1,2,1,5,1,3,3,4,1,1,3,3,4,4,4,4,2,1,1,7,97,3,4,0,0,1,1,2,4,2,4,4,0,1,5,5,0,7,7,7,7,7,7,7,7,5,1,1,5,1,5,4,2,1,9,4,3,1,0,0,3,1,1,1,0,3,5,5,5,9,7,1,0,4,2,1,1,2,0,7,7,1,1,2,,0,,622,,1,3,1,1,4,3,1,1,1,1,1,1,4,4,1,4,4,5,4,1,621,,2,2,0,0,2,2,0,4,0,5,2,1,1,2,1,3,,1,6,1,,621,,99,18:30:00,97,0,1,1,,1,,1,1,4,1,0,0,0,0,0,1,1,1,1,1,1,NIG15,35,2,2,620,,646,,8,1,620,622,623,9996,9996,,0.894015000034231,1.08365454549604
NIG0250,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,5,5,4,9997,9997,9997,9997,9997,1,2,1,2022-03-08,17:11:00,76,622,,1,1,2,1,4,3,3,1,2,3,2,1,1,1,3,4,1,1,0,0,0,0,0,0,0,0,0,3,9,0,1,4,2,4,8,4,4,1,3,1,3,9,3,2,1,1,5,1,4,4,1,1,1,1,1,9,2,9,9,2,2,9,9,3,2,9,9,0,0,0,0,0,0,0,0,0,0,9,9,2,2,9,3,3,9,9,9,9,1,9,9,0,0,9,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,3,3,9,9,9,1,,23,,1,,1,1,1,1,1,2,2,2,1,1,1,1,1,3,1,9,2,2,2,2,1,0,4,4,3,3,9,3,9,3,3,3,4,1,4,3,4,9,1,1,9,2,1,1,7,97,4,4,2,3,3,9,9,5,5,4,4,0,9,2,3,1,4,2,9,3,9,9,9,9,3,2,3,4,4,5,4,2,1,4,3,0,0,0,0,1,3,1,1,1,2,5,4,5,9,7,1,0,5,5,1,1,3,0,7,7,2,2,1,,7,,622,,9,2,1,1,4,2,1,3,1,8,3,0,5,2,1,5,5,5,5,0,9997,,2,0,2,0,1,2,0,4,0,4,3,1,1,2,0,9995,PASTOR,2,3,2,,9998,,95,18:24:00,73,0,1,1,,622,,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG14,34,1,2,622,,622,,8,1,620,622,623,9996,9996,,0.894015000034231,0.433461818198415
NIG0251,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,5,5,4,9997,9997,9997,9997,9997,1,5,1,2022-03-08,17:20:00,25,622,,1,1,2,1,5,2,1,4,1,2,0,0,1,3,4,4,3,1,0,1,0,0,1,2,1,1,3,3,0,2,3,2,2,3,4,2,3,2,4,2,4,2,3,2,3,2,2,1,3,4,2,3,3,2,1,4,3,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,2,0,2,4,3,5,5,3,,16,,17,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,4,4,3,2,2,5,4,2,3,3,4,3,3,3,3,3,4,4,4,2,2,0,3,97,2,1,1,1,1,1,4,4,4,3,5,0,1,4,4,0,7,7,7,7,7,7,7,7,2,2,3,4,1,5,4,4,4,4,0,3,0,2,2,3,5,1,1,0,0,2,4,2,0,7,0,7,4,4,2,1,2,0,7,7,2,4,2,,0,,622,,1,3,1,1,4,3,1,1,1,1,1,1,5,5,1,4,4,4,4,1,621,,1,2,1,0,1,2,1,4,2,5,2,2,1,2,1,3,,1,6,1,,621,,3,18:20:00,60,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG16,30,2,2,1,,647,,8,1,620,622,623,9996,9996,,0.894015000034231,1.08365454549604
NIG0252,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,9997,9997,9997,9997,9997,2,1,1,2022-03-08,17:56:00,29,621,,1,2,1,3,3,1,2,1,2,3,1,1,1,2,3,2,0,0,0,0,1,2,1,2,2,1,0,2,2,0,4,1,1,1,4,1,4,5,2,2,2,2,3,4,1,1,1,1,4,1,1,2,1,3,3,3,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,1,2,2,3,3,3,3,24,,3,,1,,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1,3,3,2,4,4,2,2,3,4,3,3,2,3,2,4,2,3,2,5,4,2,2,2,0,1,6,2,2,0,1,1,1,4,4,2,4,2,0,3,4,4,0,7,7,7,7,7,7,7,7,1,2,3,2,3,3,9,9,9,9,0,3,0,0,3,4,2,1,1,1,9,9,9,9,9,7,0,7,5,5,2,3,2,0,7,7,1,2,6,,1,,621,,3,2,1,1,2,3,1,1,1,1,2,1,3,3,3,3,3,3,3,0,9997,,0,2,0,0,2,2,1,4,4,11,3,2,1,2,3,8,,3,7,1,,9997,,1,18:44:00,48,0,2,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,2,1,1,NIG12,26,2,2,622,,622,,8,1,620,622,623,9996,9996,,0.543172542712715,0.160940012655619
NIG0253,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,9997,9997,9997,9997,9997,1,2,1,2022-03-08,18:03:00,21,623,,9,1,2,2,5,0,0,2,0,1,2,2,1,3,3,3,1,1,1,3,1,1,0,1,2,2,0,3,9,3,1,3,9,8,4,1,1,4,4,3,3,3,1,4,1,1,5,5,4,4,4,1,2,1,4,3,2,2,2,2,2,3,1,3,0,9,9,9,9,9,1,1,1,0,1,0,0,0,0,0,2,1,1,1,3,3,3,2,2,2,9,9,9,9,9,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,0,7,5,5,5,5,3,19,,24,,14,,1,1,1,1,1,1,3,2,2,1,2,1,9,9,9,9,9,1,2,2,2,2,3,2,4,4,4,4,9,2,3,9,2,4,2,2,2,2,9,9,9,2,2,1,7,97,9,1,1,1,1,1,9,9,9,1,3,0,1,2,2,0,7,7,7,7,7,7,7,7,5,2,4,4,9,3,9,9,9,9,3,3,0,2,2,1,2,9,9,9,3,3,5,4,9,7,0,7,4,4,9,9,9,0,7,7,1,1,1,,1,,621,,2,1,0,1,9,2,1,1,1,0,0,0,2,2,1,2,2,3,3,0,9997,,2,0,2,0,2,2,0,4,2,2,1,1,1,2,2,9,,1,2,5,,9999,,98,19:09:00,66,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG13,38,1,2,1,,621,,8,1,621,623,9996,9996,9996,,0.543172542712715,0.321880025311239
NIG0254,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,9997,9997,9997,9997,9997,1,3,1,2022-03-08,18:12:00,23,621,,1,1,1,1,4,3,4,3,3,4,0,0,1,4,4,4,1,1,2,0,0,0,0,0,0,0,0,1,1,3,2,1,1,3,4,2,1,5,1,1,5,1,2,2,2,3,2,2,3,3,2,3,1,1,1,4,3,1,1,3,3,3,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3,3,3,3,3,3,2,1,1,0,7,7,7,0,7,7,7,7,7,7,7,1,4,1,2,1,2,3,1,3,1,9,9,5,3,4,,3,,8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,3,3,3,1,3,3,4,4,1,1,4,4,3,2,2,2,2,2,0,1,2,1,1,0,9,9,1,1,1,1,1,1,0,1,3,3,1,9,9,1,3,9,9,9,9,1,1,4,5,1,5,2,1,4,1,3,1,0,3,3,2,1,1,1,1,3,5,5,9,9,7,0,7,5,5,1,1,1,1,1,0,1,1,95,NONE,0,,621,,3,1,1,1,3,2,1,1,2,2,2,2,3,3,1,3,3,3,3,0,9997,,2,0,0,0,2,2,1,4,3,5,2,3,0,7,3,6,,1,4,1,,9997,,95,19:04:00,52,0,1,1,,1,,3,1,4,0,0,0,0,0,1,1,1,1,2,2,1,NIG10,35,1,2,621,,621,,8,1,621,622,623,9996,9996,,0.543172542712715,0.48282003796686
NIG0255,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,7,9997,9997,9997,9997,2,4,1,2022-03-08,18:16:00,50,621,,1,1,1,1,1,0,0,0,0,0,3,3,1,1,9,9,0,0,1,0,0,0,0,0,1,1,3,2,2,0,3,2,2,2,4,2,4,1,5,1,2,1,3,3,4,2,2,2,3,4,2,4,2,1,1,9,3,3,3,3,3,3,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,3,2,1,1,1,1,4,2,0,1,3,0,1,0,1,2,1,1,4,1,0,0,7,7,1,0,1,5,5,5,5,1,,23,,14,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,3,3,3,5,5,2,3,4,4,1,4,3,3,3,4,2,4,2,2,0,1,3,1,1,0,1,2,1,2,2,2,9,2,0,1,5,5,0,7,7,7,7,7,7,7,7,1,1,3,5,0,5,3,5,1,9,3,3,1,3,3,4,4,0,0,0,3,5,4,9,9,7,0,7,5,5,1,1,1,1,1,0,1,1,95,NONE,2,,621,,3,1,1,1,1,2,0,3,1,2,1,0,4,3,1,4,3,1,4,0,9997,,2,2,0,2,2,2,1,4,2,1,1,1,1,1,2,6,,1,6,9998,,9997,,2,21:29:00,194,0,2,1,,1,,1,1,4,1,0,0,0,0,0,1,2,1,3,1,1,NIG11,32,2,2,1,,623,,8,1,622,623,9996,9996,9996,,0.543172542712715,0.64376005062248
NIG0256,1,623,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,9997,9997,9997,9997,9997,2,7,1,2022-03-08,19:26:00,26,621,,2,3,3,5,5,1,0,0,0,2,2,0,0,1,2,4,1,1,2,2,0,0,0,2,3,3,3,3,0,2,1,1,4,3,3,4,4,5,1,1,1,1,1,1,4,3,2,3,4,4,3,4,2,2,1,4,3,3,3,3,3,3,3,1,1,3,1,3,3,3,3,3,3,1,0,1,0,0,1,1,1,1,0,3,2,1,2,1,1,2,2,2,3,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,2,0,1,0,7,7,2,3,3,3,3,3,3,23,,3,,16,,2,2,1,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,2,3,3,3,4,2,4,4,4,5,1,1,3,3,1,3,1,1,3,2,5,5,5,2,1,1,7,97,1,1,0,0,0,3,4,4,4,3,2,0,1,3,3,1,2,4,2,1,2,2,2,2,1,1,2,4,1,5,4,4,4,4,3,4,0,4,4,4,4,1,1,1,3,4,4,4,1,1,1,1,4,4,1,4,3,1,2,1,4,4,1,,2,,621,,1,3,1,1,4,2,1,1,1,1,1,1,3,3,1,3,3,3,5,1,638,,2,2,2,2,2,2,1,4,4,1,1,1,1,2,3,9,,1,8,2,,638,,1,21:00:00,94,0,2,1,,1,,1,1,1,0,0,0,0,0,1,2,2,2,3,2,2,NIG13,38,1,2,1,,621,,8,1,621,623,9996,9996,9996,,0.543172542712715,1.12658008858933
NIG0257,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5,5,7,9997,9997,9997,9997,1,3,1,2022-03-09,09:04:00,88,622,,1,1,2,2,4,1,1,1,0,1,2,1,1,3,4,4,3,3,0,2,1,1,2,3,1,1,3,3,1,2,2,2,2,3,3,2,3,4,4,2,3,2,1,2,2,3,2,2,3,3,2,2,3,3,2,4,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,0,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,7,7,7,1,2,0,3,1,0,0,0,0,7,7,7,0,7,7,0,7,3,4,4,4,4,23,,1,,24,,2,2,1,2,1,2,3,2,2,2,3,2,3,2,2,3,3,2,2,3,3,1,4,4,3,2,2,4,3,2,3,3,1,3,2,2,4,4,4,4,4,2,2,1,7,97,3,3,1,2,2,2,4,4,4,3,2,0,2,2,5,1,4,4,4,3,2,3,3,2,3,3,5,4,1,5,4,2,2,3,4,3,0,0,0,3,2,1,1,9,9,9,9,9,9,7,1,0,4,3,1,1,2,1,3,2,2,2,3,,22,,622,,0,5,1,1,4,2,0,0,0,0,0,0,3,3,1,3,3,4,4,0,9997,,2,2,1,1,0,2,0,4,0,4,3,1,0,7,0,0,,1,0,3,,9997,,8,10:27:00,83,0,1,1,,622,,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG17,37,1,2,622,,622,,8,1,620,622,623,9996,9996,,0.894015000034231,0.613038857166329
NIG0258,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5,5,9997,9997,9997,9997,9997,1,2,1,2022-03-09,09:05:00,35,622,,1,1,2,1,9,2,3,0,2,3,2,0,2,1,4,4,4,1,1,1,0,0,0,2,0,0,3,4,0,2,1,1,1,4,3,4,5,5,1,1,4,4,2,4,4,1,5,3,3,3,1,4,2,2,1,9,3,9,9,2,3,9,9,2,3,1,2,0,0,0,0,0,2,0,0,1,0,9,0,0,1,0,3,9,3,3,3,3,3,3,3,1,9,9,3,1,1,0,7,7,7,1,2,0,3,0,0,0,0,1,2,0,3,1,1,0,1,0,3,2,2,1,3,23,,1,,8,,1,1,4,1,1,3,4,4,2,1,2,2,3,3,9,3,3,1,2,1,1,0,5,2,4,3,3,5,2,3,3,4,4,1,2,4,4,4,1,1,9,2,2,1,7,97,1,3,2,1,1,1,2,2,2,2,1,0,2,4,9,0,7,7,7,7,7,7,7,7,1,4,0,9,4,3,4,9,9,9,4,1,1,3,4,4,1,1,1,1,3,5,9,4,9,7,1,1,5,5,1,1,4,1,1,0,2,2,1,,22,,622,,3,3,1,1,2,3,1,3,2,2,2,1,5,5,1,5,5,1,9,0,9997,,2,2,2,9,2,2,1,4,4,5,2,1,1,2,1,6,,3,7,1,,9999,,8,10:04:00,58,0,1,1,,622,,5,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG14,34,1,2,622,,622,,8,1,620,622,623,9996,9996,,0.894015000034231,0.40869257144422
NIG0259,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5,5,9997,9997,9997,9997,9997,1,4,1,2022-03-09,09:06:00,97,622,,2,1,1,1,4,0,0,1,0,1,0,1,2,2,4,4,4,4,0,3,3,0,3,3,3,3,3,3,3,3,4,1,1,4,4,1,4,5,2,1,1,1,1,1,4,1,1,1,4,4,1,1,2,3,4,5,3,1,0,2,3,3,2,1,3,3,3,3,0,0,3,3,0,0,1,0,3,1,0,0,3,3,3,3,2,2,9,2,3,1,1,0,0,1,1,3,1,1,1,0,3,1,1,0,3,2,0,2,0,0,7,7,7,0,7,7,3,3,2,5,1,3,1,23,,1,,16,,1,2,3,1,1,1,3,3,4,1,4,1,1,3,1,9,3,4,4,4,2,1,5,2,4,1,2,1,5,3,3,1,4,1,4,2,1,2,5,5,5,2,1,1,7,97,4,4,2,1,2,2,2,4,4,4,5,1,4,5,5,1,9,5,3,3,3,3,3,3,1,2,1,4,1,5,4,2,2,2,4,4,0,4,4,3,1,1,1,1,3,5,5,5,9,7,1,0,4,5,1,1,2,1,9,1,1,1,2,,1,,622,,0,3,1,1,4,3,1,1,1,1,1,1,4,4,1,4,4,3,4,1,621,,2,2,0,2,2,2,1,4,4,4,1,1,1,2,0,3,,1,5,1,,621,,2,10:30:00,85,0,1,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG15,35,2,2,620,,646,,8,1,620,622,623,9996,9996,,0.894015000034231,0.817385142888439
NIG0260,1,632,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5,5,9997,9997,9997,9997,9997,2,9,1,2022-03-09,09:06:00,60,622,,1,1,4,1,4,2,2,2,1,2,1,1,0,3,4,4,1,0,0,0,0,0,0,2,1,1,3,3,0,3,4,1,3,3,4,1,1,2,2,2,4,2,2,3,4,1,2,3,3,3,1,2,1,1,1,5,2,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,7,7,7,0,7,7,7,7,7,7,7,0,7,7,7,0,7,7,2,1,2,2,2,4,4,3,,20,,7,,3,1,1,1,1,1,3,3,1,2,3,1,1,1,1,2,1,2,2,2,0,1,2,4,3,1,1,5,3,2,3,3,4,3,2,3,3,3,4,4,4,2,2,0,3,97,2,1,1,1,1,2,2,4,2,3,5,0,1,4,4,0,7,7,7,7,7,7,7,7,3,2,3,4,1,5,4,4,4,4,2,3,0,0,0,3,2,1,1,0,0,2,4,4,0,7,0,7,4,4,2,1,3,0,7,7,1,4,2,,0,,622,,1,3,1,1,4,3,1,3,2,2,2,2,5,5,2,4,5,5,4,0,9997,,1,1,1,0,1,2,0,4,0,5,2,2,1,2,0,2,,3,0,18,,9997,,3,10:02:00,56,0,2,1,,1,,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,NIG16,30,2,2,1,,647,,8,1,620,622,623,9996,9996,,0.894015000034231,1.83911657149899
NIG0261,1,638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,5,4,1,9997,9997,9997,9997,1,3,1,2022-03-09,09:22:00,43,1,,1,1,4,2,4,0,0,0,0,0,0,0,1,3,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,3,3,2,1,3,3,1,3,1,5,1,1,1,3,2,3,2,2,2,3,4,2,2,3,1,2,3,3,3,2,3,3,2,0,2,2,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,0,2,1,2,0,2,0,0,1,1,0,7,7,7,0,7,7,0,7,2,4,3,4,3,3,,14,,1,,1,1,1,1,1,2,2,1,3,1,3,3,2,2,2,2,3,2,2,2,0,3,2,2,3,3,1,2,5,3,3,1,3,3,3,2,3,2,2,3,2,2,2,0,2,6,1,2,1,1,2,1,4,4,2,2,1,0,1,3,3,1,4,4,4,3,2,2,3,3,1,1,3,5,1,5,4,4,4,4,2,4,2,4,4,3,2,1,1,0,2,4,4,3,1,3,1,0,4,2,1,1,2,1,2,1,2,2,6,,15,,9995,UTUGWU,1,3,1,1,5,2,2,2,2,2,2,2,4,4,1,3,3,3,4,0,9997,,0,2,0,2,2,2,1,4,4,1,1,1,1,3,3,11,,3,8,1,,9997,,2,10:19:00,57,0,1,1,,1,,4,1,1,0,0,0,0,0,0,1,1,1,2,1,1,NIG19,33,1,2,620,,645,,8,1,620,623,9995,9996,9996,HAM,1.06784390856232,0.826717864693412
